Row_Index,RunRow,TestScenario_ID,TestScenario_DetailedDescription,Relationship,Employer,MonthlyIncome,Schedule,EmploymentStatus,EmploymentStartDate,EmployerDepartment,LengthOfEmployment,PrimarySourceOfIncome,PhoneNumber,PhoneExtension,PrimaryPhone,PrimaryPhone2,BestTimeToCall,PhoneType,ContactName,PostalCode,Country,PrimaryAddress,AddressType,Address1,Address2,ApartmentNumber,POBox,City,CreateCustomerFlag,LandlordFirstName,LandlordLastName,LandlordPhoneNumber,FirstName,LastName,MiddleInitial,DateOfBirth,Email,CustomerID,IDNumber,IDType,StateProvince,CustomerAccountID,LineOfBusinessType,CustomerVerified,OwnershipType,POSType,LanguagePreference,DoNotVisit,DoNotCall,Active,ChecksAllowed,ACHAllowed,EpayAllowed,AutopayAllowed,EnrollinAutopay,EnrollinEpay,NationalIDNumber,HttpStatus
127,TRUE,EmployerInfo_Null_Employer_PSOI,CCS_EmployerInfo_Null_Employer_PSOI_2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,TRUE,EmployerInfo_Null_Employer_PSOI,CCS_EmployerInfo_Null_Employer_PSOI_3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,TRUE,EmployerInfo_Null_Employer_PSOI,CCS_EmployerInfo_Null_Employer_PSOI_4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,TRUE,EmployerInfo_Null_Employer_PSOI,CCS_EmployerInfo_Null_Employer_PSOI_5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,TRUE,EmployerInfo_Null_Employer_PSOI,CCS_EmployerInfo_Null_Employer_PSOI_6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,TRUE,EmployerInfo_Null_Address1,CCS_EmployerInfo_Null_Address1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,TRUE,EmployerInfo_Null_Address2,CCS_EmployerInfo_Null_Address2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,TRUE,EmployerInfo_Null_ApartmentNumber,CCS_EmployerInfo_Null_ApartmentNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,TRUE,EmployerInfo_Null_POBox,CCS_EmployerInfo_Null_POBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,TRUE,EmployerInfo_Null_City,CCS_EmployerInfo_Null_City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,TRUE,EmployerInfo_Null_PostalCode,CCS_EmployerInfo_Null_PostalCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,TRUE,EmployerInfo_Null_EmploymentStatus,CCS_EmployerInfo_Null_EmploymentStatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,TRUE,EmployerInfo_Null_EmploymentStartDate,CCS_EmployerInfo_Null_EmploymentStartDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,TRUE,EmployerInfo_Null_LengthOfEmployment_Only,CCS_EmployerInfo_Null_LengthOfEmployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,TRUE,EmployerInfo_Null_LengthOfEmployment_PSOI,CCS_EmployerInfo_Null_LengthOfEmployment_PSOI_2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,TRUE,EmployerInfo_Null_LengthOfEmployment_PSOI,CCS_EmployerInfo_Null_LengthOfEmployment_PSOI_3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,TRUE,EmployerInfo_Null_LengthOfEmployment_PSOI,CCS_EmployerInfo_Null_LengthOfEmployment_PSOI_4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,TRUE,EmployerInfo_Null_LengthOfEmployment_PSOI,CCS_EmployerInfo_Null_LengthOfEmployment_PSOI_5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,TRUE,EmployerInfo_Null_LengthOfEmployment_PSOI,CCS_EmployerInfo_Null_LengthOfEmployment_PSOI_6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,TRUE,EmployerInfo_Null_PhoneNumber_Only,CCS_EmployerInfo_Null_PhoneNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,TRUE,EmployerInfo_Null_PhoneNumber_PSOI,CCS_EmployerInfo_Null_PhoneNumber_PSOI_2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,TRUE,EmployerInfo_Null_PhoneNumber_PSOI,CCS_EmployerInfo_Null_PhoneNumber_PSOI_3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,TRUE,EmployerInfo_Null_PhoneNumber_PSOI,CCS_EmployerInfo_Null_PhoneNumber_PSOI_4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,TRUE,EmployerInfo_Null_PhoneNumber_PSOI,CCS_EmployerInfo_Null_PhoneNumber_PSOI_5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,TRUE,EmployerInfo_Null_PhoneNumber_PSOI,CCS_EmployerInfo_Null_PhoneNumber_PSOI_6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,TRUE,EmployerInfo_Null_PhoneExtension,CCS_EmployerInfo_Null_PhoneExtension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,TRUE,EmployerInfo_Null_PrimaryPhone,CCS_EmployerInfo_Null_PrimaryPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,TRUE,EmployerInfo_Null_StateProvince,CCS_EmployerInfo_Null_StateProvince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,TRUE,EmployerInfo_Null_BestTimeToCall,CCS_EmployerInfo_Null_BestTimeToCall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,TRUE,EmployerInfo_Null_Department,CCS_EmployerInfo_Null_Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,TRUE,EmployerInfo_Null_PrimarySourceOfIncome,CCS_EmployerInfo_Null_PrimarySourceOfIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,TRUE,EmployerInfo_Null_MonthlyIncome_PSOI,CCS_EmployerInfo_Null_MonthlyIncome_PSOI_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,TRUE,EmployerInfo_Null_Schedule,CCS_EmployerInfo_Null_Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
